Name,ratings,Number of ratings,catagory,address,open 24 hrs,link,comments
City Hospital & Diagnostic Center,3.8,328,Private hospital,"House No#1, 8 Satmasjid Road",Yes,http://www.cityhospitalbd.com/,"""Not bad at all. Need some improvement in environment & service."""
DR. AZMAL HOSPITAL LTD.,3.8,132,Private hospital,Plot 5 Rd No. 4,Yes,http://azmalhospital.com/,""" Very Good service"""
Greenland Hospital Ltd.,4.1,27,Hospital,House # 112 Rd 13,Yes,http://general-hospital-uttara.business.site/,
Gonoshasthaya Nagar Hospital,4.1,146,Hospital,"House No, 14/E Rd No. 6",Yes,http://www.gonoshasthayakendra.org/,"""They really work for all! Doctors and staffs are very cordial."""
Farabi General Hospital,3.3,27,General hospital,8 Rd No 14,No,,"""Services for all specialty of medical care is available in general and ..."""
United Hospital Limited,4,"1,508",Private hospital,Plot 15 Rd No 71,Yes,https://www.uhlbd.com/,"""Excellent environment but not for all!"""
Al-Raji Hospital Pvt. Ltd.,3.7,95,Hospital,"Shop No- G2, Concord Center Point, Kazi Nazrul Islam Ave",No,http://alrajhihospital.com/,"""Management is not good"""
Millennium Heart & General Hospital Ltd.,3.7,28,General hospital,"4, 9 Zakir Hossain Road",Yes,,""" 8 out of 10"""
Uttara Modern Hospital,3.9,10,Private hospital,"V99W+4Q5, Rabindra Sarani",Yes,https://umhlbd.business.site/,
AL-MANAR HOSPITAL LTD.,4.1,259,General hospital,"Plot No:Umo(ঙ), Block No:Rossoi(ই, Satmasjid Road",Yes,https://almanarhospital.com/,"""Over All good service."""
Al Helal Specialized Hospital Dhaka,3.5,238,Hospital,"150, Begum Rokeya Sarani, Mirpur-10",Yes,https://alhelalhospitalbd.com/,"""After all I would like to suggest the hospital management committee ..."""
OGSB Maternity Hospital,4.1,75,Hospital,Zoo Road,No,http://www.ogsb.org/,
Meditech General Hospital,3.3,34,General hospital,বীর উত্তম এম এ রব সড়ক,Yes,,"""Very busy and all time cloudy"""
Crescent Gastroliver & General Hospital,3.8,40,General hospital,"25/i, Green Road [Eastern end of Dhanmondi, Rd 7",Yes,http://crescentgastroliver.com/,
Central Hospital Limited,4,606,General hospital,"House # 2 সড়ক নং ৫, Green Rd",Yes,http://www.centralhospitalltdbd.com/,"""Cheap and flexible for all type of peoples..."""
Dhaka Hospital,3.8,72,Hospital,17 D.C RAY Rd,Yes,,
এস.পি.আর.সি এন্ড নিউরোলজি হসপিটাল,3.7,238,Private hospital,135 New Eskaton Road,No,http://www.sprcnh.com/,
